CITY_COUNTY,TOWNSHIP_CITY,VILLAGE,PARTY,YEAR,RECEIVED_VOTES,ISSUED_VOTES,RATE
南投縣,名間鄉,竹圍村,DPP,2008,435,700,0.6214285714285714
南投縣,名間鄉,竹圍村,DPP,2012,455,697,0.6527977044476327
南投縣,名間鄉,竹圍村,DPP,2016,431,637,0.6766091051805337
南投縣,名間鄉,竹圍村,KMT,2008,254,700,0.3628571428571429
南投縣,名間鄉,竹圍村,KMT,2012,221,697,0.3170731707317073
南投縣,名間鄉,竹圍村,KMT,2016,143,637,0.22448979591836735
南投縣,名間鄉,萬丹村,DPP,2008,380,696,0.5459770114942529
南投縣,名間鄉,萬丹村,DPP,2012,399,712,0.5603932584269663
南投縣,名間鄉,萬丹村,DPP,2016,405,611,0.662847790507365
南投縣,名間鄉,萬丹村,KMT,2008,309,696,0.44396551724137934
南投縣,名間鄉,萬丹村,KMT,2012,270,712,0.3792134831460674
南投縣,名間鄉,萬丹村,KMT,2016,123,611,0.20130932896890344
南投縣,名間鄉,赤水村,DPP,2008,501,900,0.5566666666666666
南投縣,名間鄉,赤水村,DPP,2012,539,890,0.6056179775280899
南投縣,名間鄉,赤水村,DPP,2016,550,833,0.6602641056422569
南投縣,名間鄉,赤水村,KMT,2008,389,900,0.43222222222222223
南投縣,名間鄉,赤水村,KMT,2012,326,890,0.36629213483146067
南投縣,名間鄉,赤水村,KMT,2016,204,833,0.24489795918367346
南投縣,名間鄉,下村,DPP,2012,357,650,0.5492307692307692
南投縣,名間鄉,下村,KMT,2012,271,650,0.4169230769230769
南投縣,名間鄉,�下村,DPP,2008,341,639,0.5336463223787168
南投縣,名間鄉,�下村,KMT,2008,293,639,0.458528951486698
南投縣,國姓鄉,乾溝村,DPP,2008,177,553,0.32007233273056057
南投縣,國姓鄉,乾溝村,DPP,2012,248,581,0.4268502581755594
南投縣,國姓鄉,乾溝村,DPP,2016,268,517,0.5183752417794971
南投縣,國姓鄉,乾溝村,KMT,2008,372,553,0.6726943942133815
南投縣,國姓鄉,乾溝村,KMT,2012,313,581,0.5387263339070568
南投縣,國姓鄉,乾溝村,KMT,2016,171,517,0.3307543520309478
南投縣,國姓鄉,北山村,DPP,2008,397,1085,0.36589861751152075
