city_county,township_city,village,issued_votes_2016,population_2016,dpp_over_kmt_rates_2008,dpp_over_kmt_rates_2012,dpp_over_kmt_rates_2016,changes_at_2012,changes_at_2016,fullvill
南投縣,南投市,三民里,548,802,-0.261755,-0.233177,0.149635,0.0285787,0.382812,南投縣南投市三民里
南投縣,南投市,三興里,3380,5065,-0.32243,-0.210791,0.103254,0.111639,0.314046,南投縣南投市三興里
南投縣,南投市,仁和里,384,501,0.0204545,0.0516432,0.28125,0.0311886,0.229607,南投縣南投市仁和里
南投縣,南投市,光明里,813,1109,-0.793578,-0.691049,-0.434194,0.102529,0.256855,南投縣南投市光明里
南投縣,南投市,光榮里,816,1232,-0.735791,-0.662162,-0.400735,0.0736289,0.261427,南投縣南投市光榮里
南投縣,南投市,光華里,653,934,-0.759962,-0.68477,-0.402756,0.0751923,0.282013,南投縣南投市光華里
南投縣,南投市,光輝里,356,510,-0.602326,-0.520095,-0.0702247,0.082231,0.44987,南投縣南投市光輝里
南投縣,南投市,內新里,982,1399,-0.147894,-0.0602969,0.279022,0.0875973,0.339319,南投縣南投市內新里
南投縣,南投市,內興里,4123,6095,-0.379286,-0.28045,0.0606355,0.0988362,0.341086,南投縣南投市內興里
南投縣,南投市,千秋里,705,992,-0.16208,-0.0292479,0.239716,0.132832,0.268964,南投縣南投市千秋里
南投縣,南投市,南投里,423,595,-0.133333,-0.0983607,0.248227,0.0349726,0.346588,南投縣南投市南投里
南投縣,南投市,嘉和里,2722,4202,-0.215138,-0.0737504,0.235856,0.141387,0.309606,南投縣南投市嘉和里
南投縣,南投市,嘉興里,1324,2031,-0.0153846,0.155647,0.398036,0.171032,0.242389,南投縣南投市嘉興里
南投縣,南投市,崇文里,645,954,-0.166447,-0.122667,0.106977,0.0437799,0.229643,南投縣南投市崇文里
南投縣,南投市,平和里,3828,5907,-0.261272,-0.144756,0.187043,0.116517,0.331798,南投縣南投市平和里
南投縣,南投市,平山里,3195,5107,-0.290719,-0.141269,0.229421,0.149449,0.37069,南投縣南投市平山里
南投縣,南投市,康壽里,983,1398,-0.210832,-0.128277,0.17294,0.0825546,0.301217,南投縣南投市康壽里
南投縣,南投市,彰仁里,278,382,0.0914286,0.0959753,0.356115,0.00454664,0.26014,南投縣南投市彰仁里
南投縣,南投市,振興里,1376,2010,0.0234042,0.0841184,0.365552,0.0607142,0.281434,南投縣南投市振興里
南投縣,南投市,新興里,2902,4646,-0.185197,-0.0477099,0.299449,0.137488,0.347159,南投縣南投市新興里
南投縣,南投市,東山里,278,400,-0.176678,-0.068592,0.330935,0.108086,0.399527,南投縣南投市東山里
南投縣,南投市,永興里,483,755,-0.148218,0.0848057,0.36853,0.233023,0.283724,南投縣南投市永興里
南投縣,南投市,永豐里,1775,2697,-0.182436,-0.0401904,0.274366,0.142246,0.314557,南投縣南投市永豐里
南投縣,南投市,漳和里,4451,6727,-0.278348,-0.168032,0.178387,0.110316,0.346419,南投縣南投市漳和里
南投縣,南投市,漳興里,1704,2527,-0.132249,-0.0640165,0.2723,0.0682328,0.336317,南投縣南投市漳興里
南投縣,南投市,營北里,4077,5630,-0.547647,-0.442608,-0.0816777,0.105039,0.36093,南投縣南投市營北里
南投縣,南投市,營南里,1559,2257,-0.321734,-0.23571,0.124439,0.0860238,0.360149,南投縣南投市營南里
南投縣,南投市,福山里,1205,1840,-0.185714,-0.0866565,0.225726,0.0990579,0.312383,南投縣南投市福山里
南投縣,南投市,福興里,1926,2826,-0.165138,-0.0311573,0.258567,0.13398,0.289724,南投縣南投市福興里
南投縣,南投市,軍功里,2775,4349,-0.328926,-0.192545,0.192432,0.136381,0.384977,南投縣南投市軍功里
南投縣,南投市,鳳山里,725,1119,0.0258824,0.137019,0.431724,0.111137,0.294705,南投縣南投市鳳山里
南投縣,南投市,鳳鳴里,417,663,0.140206,0.253579,0.510791,0.113373,0.257213,南投縣南投市鳳鳴里
南投縣,南投市,龍泉里,615,928,-0.127809,-0.0218878,0.261789,0.105921,0.283676,南投縣南投市龍泉里
南投縣,名間鄉,三崙村,1014,1525,0.0218579,0.13465,0.389546,0.112792,0.254896,南投縣名間鄉三崙村
南投縣,名間鄉,中山村,1436,2203,-0.143148,-0.0132076,0.298747,0.12994,0.311954,南投縣名間鄉中山村
南投縣,名間鄉,中正村,2118,3287,-0.119763,0.00398406,0.311143,0.123747,0.307158,南投縣名間鄉中正村
南投縣,名間鄉,仁和村,552,878,-0.29316,-0.238095,0.11413,0.0550644,0.352226,南投縣名間鄉仁和村
南投縣,名間鄉,南雅村,675,1026,-0.164402,-0.0625,0.254815,0.101902,0.317315,南投縣名間鄉南雅村
南投縣,名間鄉,埔中村,584,874,0.0746951,0.205621,0.424658,0.130926,0.219036,南投縣名間鄉埔中村
